state,key,value
AN,port blair,744107:744106:744206:744112:744101:744103:744102:744105
AP,addanki,523303:523181:523261:523190:523185:523135:523201:523265:523213:523214:523212:523167
AP,addateegala,533428:533483:533284
AP,adoni,518301:518308:518347:518323:518302
AP,allagadda,518543:518594:518155
AP,alur,518348:518395:518465:518380:518346
AP,amalapuram,533217:533577:533239:533212:533202:533201:533210:533241:533213:533221:533211:533216:533222:533218:533215:533274:533214
AP,amarapuram,515286:577546:515281:572116
AP,anakapalle,531011:531031:530031:531021:531035:531032:531002:531001:531020:531033
AP,anantapur,515001:515435:515004:515003:515002:515701:515631:515425:515731:515005:515721
AP,araku,531151:531149
AP,atmakur,518442:518422
AP,atmakur-ap,524301:524421:524127:524305:524322:524307:524303:524306:524341:524308:524129:524126:524234:524240:524304
AP,avanigadda,521121:521129:521130:521328:521120:521125:521122
AP,b kothakota,517370:517391:517390:517351
AP,badvel,516501:516193:516227:516233:516505:516437:516228:516502:516503:516217
AP,banaganapalli,518124:518186:518122:518134:518135:518123:518196
AP,bapatla,522101:522102:522111:522113:522329:522112:522310:522317
AP,betamcherla,518598:518599:518176:518206
AP,bheemunipatnam,530052:531161:531162:531219:531148:531163
AP,bhimadole,534425:534401:534427
AP,bhimavaram,534240:534206:534244:534236:531201:534208:534199:534243:534202:534247:534201:534238:534237:534210:534239:534230:534186:534209:534204:534207
AP,bhogapuram,535204:535213:535216
AP,bikkavolu,533344:533343
AP,bobbili,535547:535559:535568:535557:535573:532558:535532:535546:535558
AP,chagalamarri,516359:518553
AP,chilakaluripet,522234:522626:522233:522611:522616:522619:522015
AP,chimakurthy,523264:523263:523226:523225:523253
AP,chintalpudi,534462:534461:534467:534460
AP,chintapalli,531111:531133
AP,chirala,523169:523170:523184:523157:523189:523166:523168:523155:523156:523187:523165
AP,chittoor,517001:517416:517002:517127:517125:517003:517419:517429:517422:517132:517403:517004:517131:517129:517128
AP,chodavaram,531026:531027:531036:531028:531030:531034:531075:531023:531022:531025
AP,cuddapah,516005:516237:516216:516152:516162:516213:516001:516006:516004:516163:516247:516293:516002:516003
AP,cumbumap,523334:523336:523333:523370
AP,dachepalle,522414:522415
AP,dharmavaram,515662:515671:515404:515651:515661:515101:515672
AP,dhone,518225:518221:518468:518222:518220
AP,doranala,523331
AP,draksharamam,533256:533306:533262:533468:533255:533305:533260:533263
AP,dwaraka tirumala,534449:534452:534426:534435
AP,eluru,534003:534006:534475:534001:534007:534442:534450:534432:534004:534000:534005:534002
AP,gajapatinagaram,535270:535273:535260:535580
AP,galiveedu,516267:515521
AP,gampalagudem,521403:521401:521235
AP,ganapavaram,534195:534198
AP,gannavaram,521102:521107:521286:521104:521311:521101:521260:521312
AP,garividi,535220:535128:535125:535101
AP,giddalur,523369:523357:523367:523356:523368:523373
AP,gokavaram,533290:533292:533289:533285:533287:533286
AP,gooty,515611:515405:515774:515401:515402:515455:515775:515408:518390
AP,gopalapatnam,530047:530051
AP,gopalapuram,534313:534341:534316
AP,gorantla,515601:515241:515231:515341
AP,gudivada,521263:521356:521124:521322:521330:521148:521323:521327:521301:521325
AP,gudur,524405:524131:524406:524402:524410:524101:524412
AP,guntakal,515801:515842:518396:515803:515456:515835:515843:518385
AP,guntur,522341:522309:522302:522509:522314:522004:522529:522010:522316:522238:522502:522034:522332:522515:522050:522036:522013:522002:522006:522009:522035:522022:522024:522235:522503:523171:522312:522436:522005:522318:522019:522311:522007:522001:522508:522003:522305:522501:522212:522438:522303:522510:522124:522315:522354:522020:522017
AP,hindupur,515211:515213:515212:515261:515331:515201
AP,ichchapuram,532312
AP,jaggayyapet,521190:521457:521175:521178
AP,jangareddygudem,534318:534312:534455:534451:534311:534447:534448
AP,jinnuru,534327:534250:534245:534265:534338
AP,kadiri,515571:515531:515541:515556:515551:515561:515591
AP,kaikaluru,521343:534235:521117:521345:521344:521340:521333:521326
AP,kakinada,533007:533016:533003:533002:533008:533462:533004:533006:533001:523003:533461:533005
AP,kalyandurg,515787:515765:515761:515621:515762:515763:515767:515766:515741
AP,kandukur,523105:523279:523281:523115:523271:523109:523116:523113
AP,kanigiri,523121:523245:523117:523223:523230:523254
AP,kathipudi,533407:533401:533446:531126:533406:533410:533444:531127:533408:533449
AP,kavali,524239:524202:524223:524203:524201:524142:524225:524224:523291:524228
AP,koduru,516108:516110:516105:516101:516104:516106
AP,kondapi,523273:523270
AP,koruprolu,531082:531061:531083:531081
AP,kosigiap,518333:518313:518344:518349
AP,kothapalli,533448:533447
AP,kotturu-ap,532457:532459:532456
AP,kovvur,534350:534342:534303:534340:534343:534351:534302:534301:535202:534305
AP,koyyuru,533436:531087
AP,kudair,515711:515751
AP,kukanoor,507114:534444
AP,kuppam,517425:517426:517423
AP,kurnool,518218:518003:518466:518217:518001:518005:518216:518004:518452:518467:518007:518006:518018:518010:518002
AP,kurupam,535594:535534:535523
AP,macherla,522421:522439:522613:522426:522612
AP,machilipatnam,521126:521131:521149:521255:521002:521003:521369:521150:521133:521001:521331:521366:521162
AP,madakasira,515271:515301:515305:515306:515303:515291:515311:515321
AP,madanapalle,517326:517237:517350:517299:517330:517297:517305:517325:517352:517235:517291:517319:517280:517236:517277
AP,mandapeta,533223:533234:533238:533229:533345:533342:533237:533261:533307:533340:533264:533235:533341:533309:533308:533228:533346:533233:533236:533232
AP,mantada,521246:521163:521256:521250
AP,markapur,523326:523305:523205:523315:523316:523304:523332:523320:523371:523329:523330
AP,martur,523301:523260
AP,mudigubba,515511:515154:515159
AP,mylavaram,521230:521229:521228
AP,nallajerla,534176:534111:534112
AP,nandigama,521180:521182:521183:521185
AP,nandikotkur,518432:518401:518411:518412:518405
AP,nandyal,518593:518674:518112:518503:518512:518523:518501:518511:518502
AP,narasannapeta,532425:532421:532429:532432:532427:532474:532430
AP,narasaraopet,533226:522601:522549:524408:522603:522617:522661:522408:524407
AP,narsapur,534281:534280:534275:533251
AP,narsipatnam,531117:531116:531084:531085:531113:531118:531114:531115
AP,nellore,524005:524366:524001:524320:524344:524313:524137:524003:524311:524346:524318:524323:524315:524004:524316:524321:524002:524347:524314:524152
AP,nuzvid,521123:521207:521211:521201:521111:521202:521144
AP,ongole,523280:523262:523272:523211:523182:522608:523001:523186:523002:523286:523183
AP,paderu,531077:531024:531029
AP,pakala,517130:517112:517152:517124:517126
AP,palakollu,534260:534268:534267:534269:534266
AP,palakonda,532190:532440:532461:532455:532445:532462:532460:532443
AP,palamaner,517432:517408
AP,palasa,532242:532211:532222:532219:532221:532212:532220:532218:532243
AP,pamarru,521156:521138:521158:521157:521135:521136:521132:521390:521332:521247
AP,pamuru,523108:524236:524227:523110
AP,parvathipuram,535501:535525:535522:532501:535521:535463:535524:535502:535526:535527
AP,pedabayalu,531040
AP,pedapadu,521105:521110:521321:521106:534437:521109
AP,pendurthi,535183:531173:535240
AP,penugonda,534324:534122:534326:534123:534126
AP,penukonda,515122:515164:515124:515110:515123
AP,piduguralla,522614:522615:522435:522437:522413:522411
AP,pileru,517172:517192:517213:517123:517113:517194:517234:517193:517214
AP,podili,523241:523246:523247:523240:523252
AP,polavaram,534315
AP,proddatur,516434:516432:516319:516309:516223:518145:516173:516439:516362:516356:516311:516431:516310:516172:516175:516312:516355:516433:516360:516203:516289
AP,pulivendula,516349:516391:516484:516421:516396:516390:516401
AP,punganur,517247:517417:517257:517414
AP,puttaparthi,515134:515144:515133
AP,puttur-ap,517571:517592:517590:517586:517583:517643:517582:517591:517581:517587:517589:517551:517584
AP,rajahmundry,533124:533101:533293:533106:533103:533102:533107:533296:533126:533104:533105:533297:533294:533503:533125:533291
AP,rajam,532148:532122:535102:535126:535124:532127
AP,rajampet,516126:516107:516150:516131:516151:516128:516116:516115:516127
AP,rampachodavaram,533288
AP,ranastalam,532409:532407
AP,rayachoti,516130:516214:516257:516270:516504:516269:516215
AP,rayadurgam,515871:515865:515863:515867
AP,razole,533252:533249:533250:533244:533242:533248:533247:533253:533240:533254
AP,repalle,522259:522262:522258:522263:522264:522265:522256:522268:522324:522257
AP,s kota,535145:535250:535221:535148:535160
AP,salur,535592:535578:532591:535579:535593:535591:532579
AP,samarlakota,533460:533450:533440:533437:533434:533433
AP,sattenapalle,522402:522409:522410:522412:522403:522401
AP,seetharampram,535161:535281
AP,singarayakonda,523104:523274:523292:523101
AP,sirvella,518573:518510:518563:518583
AP,sompeta,532284:532322:532292:532263:532290:532264:532291
AP,srikakulam,532404:532403:532168:532484:532185:532410:532123:532402:532005:532001:532186:532408:532405:532401
AP,srikalahasti,524134:517619:517640:517642:517641:517621:524132:524404:517620:517644:517536
AP,srisailam,518102:518101
AP,sullurupeta,524121
AP,sunkara palem,533463:533220:533464
AP,tada,517588:517541:524401:517646
AP,tadepalligudem,534145:534196:534166:534165:534411:534406:534101:534416:534102:534197:534146:534407
AP,tadikonda,522236:522237:522018:522016
AP,tadipatri,515445:516444:515415:516380:516454:515414:515413:515465:516464:515411:516474
AP,tanuku,534217:534320:534339:534330:534328:534216:534331:534218:534227:534222:534156:534134:534124:534211:534329:534225:534215
AP,tekkali,532195:532215:532201:532203
